,num_decks,num_players,dealer_card,dealer_value,player_initial_value,hit,dealer_bust,results,count,num_hits,outcome
0,5,4,4,24,15,0,1,1.0,0,0,0
1,5,4,4,24,18,0,1,1.0,0,0,0
2,5,4,4,24,14,0,1,1.0,0,0,0
3,5,4,4,24,11,1,1,1.0,0,1,1
4,5,4,2,19,14,0,0,-1.0,1,0,1
5,5,4,2,19,6,1,0,-1.0,1,1,0
6,5,4,2,19,8,1,0,0.0,1,1,1
7,5,4,2,19,11,1,0,-1.0,1,1,0
8,5,4,8,26,12,1,1,1.0,2,1,1
9,5,4,8,26,19,0,1,1.0,1,0,0
10,5,4,8,26,16,0,1,1.0,1,0,0
11,5,4,8,26,10,1,1,1.0,1,1,1
12,5,4,4,25,17,0,1,1.0,1,0,0
13,5,4,4,25,17,0,1,1.0,1,0,0
14,5,4,4,25,21,0,1,1.0,1,0,0
15,5,4,4,25,4,1,1,1.0,1,1,1
16,5,4,6,19,18,0,0,-1.0,1,0,1
17,5,4,6,19,16,0,0,-1.0,1,0,1
18,5,4,6,19,19,0,0,0.0,1,0,0
19,5,4,6,19,14,0,0,-1.0,1,0,1
20,5,4,A,22,19,0,1,1.0,2,0,0
21,5,4,A,22,9,1,1,1.0,2,1,1
22,5,4,A,22,8,1,1,1.0,1,1,1
23,5,4,A,22,17,0,1,1.0,2,0,0
24,5,4,10,25,14,0,1,1.0,1,0,0
25,5,4,10,25,10,1,1,1.0,1,1,1
26,5,4,10,25,18,0,1,1.0,0,0,0
27,5,4,10,25,21,0,1,1.0,0,0,0
28,5,4,3,24,21,0,1,1.0,0,0,0
29,5,4,3,24,14,0,1,1.0,0,0,0
30,5,4,3,24,19,0,1,1.0,0,0,0
31,5,4,3,24,5,1,1,1.0,0,1,1
32,5,4,6,21,9,1,0,-1.0,2,1,0
33,5,4,6,21,12,1,0,-1.0,1,1,0
34,5,4,6,21,12,1,0,-1.0,1,1,0
35,5,4,6,21,15,0,0,-1.0,1,0,1
36,5,4,5,25,16,0,1,1.0,1,0,0
37,5,4,5,25,11,1,1,1.0,1,1,1
38,5,4,5,25,18,0,1,1.0,1,0,0
39,5,4,5,25,14,0,1,1.0,1,0,0
40,5,4,K,20,18,0,0,-1.0,-1,0,1
41,5,4,K,20,17,0,0,-1.0,-1,0,1
42,5,4,K,20,12,1,0,-1.0,-1,1,0
43,5,4,K,20,19,0,0,-1.0,-1,0,1
44,5,4,J,18,19,0,0,1.0,-2,0,0
45,5,4,J,18,13,1,0,-1.0,-2,1,0
46,5,4,J,18,18,0,0,0.0,-2,0,0
47,5,4,J,18,17,0,0,-1.0,-2,0,1
48,5,4,6,21,19,0,0,-1.0,-3,0,1
49,5,4,6,21,20,0,0,-1.0,-3,0,1
50,5,4,6,21,10,1,0,-1.0,-3,1,0
51,5,4,6,21,10,1,0,-1.0,-3,1,0
52,5,4,10,20,6,1,0,-1.0,-1,1,0
53,5,4,10,20,15,0,0,-1.0,0,0,1
54,5,4,10,20,12,1,0,-1.0,0,1,0
55,5,4,10,20,13,0,0,-1.0,0,0,1
56,5,4,2,21,16,0,0,-1.0,0,0,1
57,5,4,2,21,16,0,0,-1.0,0,0,1
58,5,4,2,21,12,1,0,-1.0,0,1,0
59,5,4,2,21,20,0,0,-1.0,0,0,1
60,5,4,2,17,13,1,0,-1.0,3,1,0
61,5,4,2,17,15,0,0,-1.0,3,0,1
62,5,4,2,17,13,1,0,-1.0,3,1,0
63,5,4,2,17,11,1,0,1.0,4,1,1
64,5,4,6,21,13,1,0,-1.0,12,1,0
65,5,4,6,21,14,0,0,-1.0,11,0,1
66,5,4,6,21,11,1,0,0.0,11,1,1
67,5,4,6,21,20,0,0,-1.0,10,0,1
68,5,4,7,18,15,0,0,-1.0,6,0,1
69,5,4,7,18,20,0,0,1.0,6,0,0
70,5,4,7,18,18,0,0,0.0,6,0,0
71,5,4,7,18,19,0,0,1.0,6,0,0
